gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
SNORD115-40,3.039796393442624,-0.14863930487804877,-1.3449520390479102,0.1835736185767276,41,20,0.2964128883027046
OTTHUMG00000151435,3.789102459016394,0.08836141463414604,1.344721817830871,0.18364757291745049,41,20,0.2965168089971165
OTTHUMG00000163509,3.068511803278689,-0.09625085365853714,-1.3441009115022529,0.1838471403918765,41,20,0.29682352281950386
HRH4,3.1666683606557373,0.05533051219512197,1.3437438487609663,0.1839619795563549,41,20,0.29699341682020314
LAPTM4A,16.13135573770492,-0.04191036585365637,-1.3433920252151768,0.18407518690195268,41,20,0.2971606587549544
ZMYND8,7.380371311475412,0.07563674390244124,1.3433015523686693,0.18410430716882717,41,20,0.29719214484474293
OTTHUMG00000157083,3.82731344262295,0.09617385365853615,1.3430750849895212,0.18417721497411516,41,20,0.2972739516530423
ZNF24,9.412690327868852,0.106244634146341,1.3430599408438504,0.18418209118772486,41,20,0.2972739516530423
OTTHUMG00000161562,3.147605737704919,0.08718274390243996,1.3430545044694218,0.18418384165191568,41,20,0.2972739516530423
GP1BA,3.9083365573770488,0.08625631707317183,1.3428718852996164,0.18424265073143692,41,20,0.29735334068907293
CAPSL,3.246672295081967,0.07679199999999975,1.342816483564452,0.1842604946368782,41,20,0.29736661027429356
PRAMEF2,2.797569180327869,-0.06287064634146322,-1.3426770700277662,0.18430540303627646,41,20,0.29742355390507674
LOC93622,4.280282459016393,-0.07281918292682832,-1.3424319462004453,0.1843843833499893,41,20,0.29753547240138994
MIR1539,2.1676445901639343,-0.03666458536585404,-1.3420149580449077,0.18451879830993353,41,20,0.2977368277433559
TMEM200B,4.682459180327871,-0.07462951219511993,-1.3419285899586268,0.18454664810617616,41,20,0.2977662190519669
TNFSF11,3.282416885245902,0.051294878048780745,1.3416468851071386,0.18463750731464043,41,20,0.2978972677399615
LOC407835,3.972490819672131,-0.06616369512195286,-1.3413510994549442,0.1847329445489563,41,20,0.2980356886242167
OTTHUMG00000022173,3.1138665573770496,0.08310514634146315,1.341012974099435,0.18484208878140823,41,20,0.29819620785036394
STK32A,4.421482786885248,-0.09806674390243852,-1.340953394307017,0.18486132573926323,41,20,0.29821167512119895
CLTCL1,3.9236247540983604,0.03948671951219529,1.3408703699075981,0.18488813495758874,41,20,0.2982393554394426
LINC00237,3.1443159016393447,0.07671776829268317,1.3408337276557707,0.18489996796041655,41,20,0.2982428762952335
KIAA1210,3.377491475409837,0.062037707317073476,1.3406872861642136,0.18494726452443197,41,20,0.2983035963742795
