gene,AveExpr,logFC,t,P.Value,n_dn,n_ctrl,adj.P.Val
IL2RG,3.0732874511001427,2.2210258686698,6.469477675618334,2.6224007016947866e-05,6,6,0.0021940929399060505
SHBG,3.3507244573540014,-1.7573315292054446,-6.46567945449753,2.637475028538317e-05,6,6,0.0021940929399060505
PGGHG,5.879336794970977,1.7459233083746009,6.464528449816654,2.6420612242606545e-05,6,6,0.0021940929399060505
VAV1,4.778094439634134,1.5896681962068797,6.4618619326900255,2.652718492632248e-05,6,6,0.0021940929399060505
TGM2,6.701808623250198,1.079726310021842,6.4549540887548895,2.68053944145238e-05,6,6,0.0022048547626708857
TSHZ3,4.315497143119416,1.1331885866479898,6.440945102675676,2.737913299829217e-05,6,6,0.002239673253178977
ITPRIP,4.010830423818485,1.0547064979434269,6.435217388549141,2.7617445604393096e-05,6,6,0.002246822569170516
CNNM2,7.127307522216209,-0.71100606116614,-6.398435093165311,2.9201162808993863e-05,6,6,0.0023627549559798945
FPR3,3.0655874458097627,1.493036611831866,6.37770117889256,3.013603573275136e-05,6,6,0.0024249260177590343
SEMA4C,5.964810190610845,0.6745217546231874,6.374237225744617,3.029528743304543e-05,6,6,0.0024249260177590343
ZYX,6.559201306992609,1.2855084234773688,6.366200344183523,3.0668216977644095e-05,6,6,0.002441649274669333
PLCB2,6.221562790026798,1.678587481417976,6.362326886886447,3.0849687225718026e-05,6,6,0.002443032677747287
MS4A6A,5.373663721381092,1.021101312934631,6.338130529810416,3.200932024976609e-05,6,6,0.0025214537559709923
PALD1,5.349086299575094,0.9411541876542211,6.316497226635845,3.3085218225200584e-05,6,6,0.0025924880470357173
C1S,7.449073630860899,1.0496982234789245,6.304073259460638,3.372035149529552e-05,6,6,0.0026284219532039773
FERMT3,4.525278175825346,1.438065696804181,6.2820340976573465,3.487899038841817e-05,6,6,0.002695936848544045
KIF26B,5.7603487819381245,1.2472706803902973,6.279299065660452,3.5025688103759164e-05,6,6,0.002695936848544045
STING1,5.184033917991305,0.8558629138344678,6.273499004746389,3.533894824926732e-05,6,6,0.002695936848544045
